file,composables,arabic_string_literals,ui_like_string_literals,direct_text_literal,string_resource,content_description_literal,button_calls,text_field_calls,dialog_calls,lazy_column_calls,lazy_row_calls,clickable_calls
app/src/main/java/com/fush/erp/ui/FushErpApp.kt,1,0,1,0,6,0,0,0,0,0,0,0
app/src/main/java/com/fush/erp/ui/FushTheme.kt,1,0,0,0,0,0,0,0,0,0,0,0
app/src/main/java/com/fush/erp/ui/ProfessionalComponents.kt,16,4,4,0,10,0,3,0,1,0,0,2
app/src/main/java/com/fush/erp/ui/ProfessionalFormComponents.kt,5,0,1,1,5,0,5,4,0,0,0,0
app/src/main/java/com/fush/erp/ui/export/ReportExportActions.kt,1,13,13,8,0,0,4,0,0,0,0,0
app/src/main/java/com/fush/erp/ui/export/ReportExportSupport.kt,0,23,174,0,0,0,0,0,0,0,0,0
app/src/main/java/com/fush/erp/ui/export/SpreadsheetCellValue.kt,0,1,2,0,0,0,0,0,0,0,0,0
app/src/main/java/com/fush/erp/ui/screens/AccountingScreens.kt,25,402,462,189,50,0,61,46,13,10,0,1
app/src/main/java/com/fush/erp/ui/screens/AccountingSectionExport.kt,0,193,198,0,0,0,0,0,0,0,0,0
app/src/main/java/com/fush/erp/ui/screens/AdvancedInventoryScreens.kt,11,252,282,94,58,0,43,13,12,4,3,0
app/src/main/java/com/fush/erp/ui/screens/BackupRestoreScreen.kt,1,35,40,23,0,0,7,0,2,0,0,0
app/src/main/java/com/fush/erp/ui/screens/CollectionsDetailScreen.kt,2,20,24,8,0,0,0,0,0,1,0,0
app/src/main/java/com/fush/erp/ui/screens/EmployeeScreens.kt,11,228,244,96,0,0,28,23,8,2,0,0
app/src/main/java/com/fush/erp/ui/screens/ExpenseScreens.kt,2,120,144,31,0,0,5,8,1,2,0,0
app/src/main/java/com/fush/erp/ui/screens/GeographyScreens.kt,9,123,133,64,0,0,13,17,3,4,0,0
app/src/main/java/com/fush/erp/ui/screens/GovernanceScreen.kt,3,65,74,32,0,0,10,11,2,1,0,0
app/src/main/java/com/fush/erp/ui/screens/HomeShell.kt,20,360,378,99,77,0,38,26,9,4,0,0
app/src/main/java/com/fush/erp/ui/screens/LoginScreen.kt,1,7,7,2,11,0,2,3,0,0,0,0
app/src/main/java/com/fush/erp/ui/screens/MaintenanceScreens.kt,9,175,184,73,0,0,24,26,8,1,0,0
app/src/main/java/com/fush/erp/ui/screens/PartyScreens.kt,16,232,259,86,54,0,27,23,7,4,0,0
app/src/main/java/com/fush/erp/ui/screens/PlanningScreen.kt,10,213,227,103,0,0,33,11,9,2,0,1
app/src/main/java/com/fush/erp/ui/screens/ProductionScreens.kt,17,483,526,142,0,0,45,33,12,6,1,0
app/src/main/java/com/fush/erp/ui/screens/PurchaseScreens.kt,8,177,195,100,28,0,19,7,7,1,0,0
app/src/main/java/com/fush/erp/ui/screens/ReauthenticationDialog.kt,1,8,8,6,0,0,2,2,1,0,0,0
app/src/main/java/com/fush/erp/ui/screens/ReportsScreen.kt,23,875,933,35,0,0,1,0,0,13,2,0
app/src/main/java/com/fush/erp/ui/screens/RiskControlScreen.kt,7,106,123,73,0,0,20,27,6,2,0,0
app/src/main/java/com/fush/erp/ui/screens/SalesRepresentativeScreens.kt,9,158,175,70,0,0,16,19,5,2,0,0
app/src/main/java/com/fush/erp/ui/screens/SalesScreens.kt,9,191,210,96,37,0,18,17,7,1,0,0
app/src/main/java/com/fush/erp/ui/screens/SecurityScreens.kt,13,153,156,81,0,0,27,18,5,3,0,0
